ring,distance,r_cbd
0.0,9.43857459196725,1.6352596238180965
1.0,8.977216330704005,4.551295093423308
2.0,10.527889185506185,7.1981974433971905
3.0,6.985117413104602,10.399808764440262
4.0,7.379055917660264,13.498614913061779
5.0,7.299799044757478,16.76782992429656
6.0,7.986217291536606,19.344792346528777
7.0,8.982365777355241,22.611437508124947
8.0,8.96013120586041,25.411092498531833
9.0,8.70799427277928,28.418696068185778
10.0,11.140409464973924,31.292475421166362
11.0,12.292789657908195,34.8553645676106
12.0,12.139858452305592,37.224533642003856
13.0,10.66587711432859,39.91694687430798
14.0,12.11959084349936,42.98650401097125
15.0,15.834240537845854,46.441062954523176
16.0,14.948167169287869,48.36994829879179
